id,family,subfamily,file,line,symbol_or_selector,property_or_usage,raw_value,current_token_or_formula,classification,closure_state,recommended_action,proof_needed,notes
GVT-0014,borders-strokes,java-usage,src/main/java/qupath/ext/astra/PipelineLauncher.java,373,,java-visual-literal,2.0,+ (SURFACE_BORDER_WIDTH * 2.0);,tokenized-pass-2,closed-proven,Keep as proof scaffolding or generated-token mirror; do not treat as production visual source.,rendered stroke alpha bounds + border width pixel scans,Formula now uses named LauncherGeometryTokens counts/divisors instead of raw shape or stroke multiplier.
GVT-0015,margins-padding-gaps-spacing,java-usage,src/main/java/qupath/ext/astra/PipelineLauncher.java,376,,java-visual-literal,2.0,+ (OPTIONS_PANEL_INSET * 2.0),already-tokenized,closed-proven,Keep semantic spacing token/formula and verify with targeted geometry overlay.,geometry-overlay CSV expected/observed/delta; /private/tmp/astra-spacing-pass-final,Menu popup width now uses BILATERAL_EDGE_COUNT.
GVT-0016,margins-padding-gaps-spacing,java-usage,src/main/java/qupath/ext/astra/PipelineLauncher.java,379,,java-visual-literal,2.0,MENU_POPUP_WIDTH + (MENU_EDGE_MARGIN * 2.0);,already-tokenized,closed-proven,Keep semantic spacing token/formula and verify with targeted geometry overlay.,geometry-overlay CSV expected/observed/delta; /private/tmp/astra-spacing-pass-final,Rendered menu popup width now uses BILATERAL_EDGE_COUNT.
GVT-0017,margins-padding-gaps-spacing,java-usage,src/main/java/qupath/ext/astra/PipelineLauncher.java,383,,java-visual-literal,2.0,OPTIONS_PANEL_INSET - (SURFACE_BORDER_WIDTH * 2.0);,already-tokenized,closed-proven,Keep semantic spacing token/formula and verify with targeted geometry overlay.,geometry-overlay CSV expected/observed/delta; /private/tmp/astra-spacing-pass-final,Simple menu item inset now uses BILATERAL_EDGE_COUNT.
GVT-0018,margins-padding-gaps-spacing,java-usage,src/main/java/qupath/ext/astra/PipelineLauncher.java,385,,java-visual-literal,2.0,MENU_WIDTH - (OPTIONS_PANEL_INSET * 2.0);,already-tokenized,closed-proven,Keep semantic spacing token/formula and verify with targeted geometry overlay.,geometry-overlay CSV expected/observed/delta; /private/tmp/astra-spacing-pass-final,Menu item width now uses BILATERAL_EDGE_COUNT.
GVT-0019,header-footer-tab-shape-metrics,java-usage,src/main/java/qupath/ext/astra/PipelineLauncher.java,391,,java-visual-literal,2.0,return PARAMETER_ROW_HEIGHT + (ACTION_RIBBON_INSET * 2.0);,tokenized-pass-2,closed-proven,Keep as proof scaffolding or generated-token mirror; do not treat as production visual source.,rendered button alpha + live path segment zero-delta table,Formula now uses named LauncherGeometryTokens counts/divisors instead of raw shape or stroke multiplier.
GVT-0020,header-footer-tab-shape-metrics,java-usage,src/main/java/qupath/ext/astra/PipelineLauncher.java,408,,java-visual-literal,2.0,- (ACTION_RIBBON_INSET * 2.0),tokenized-pass-2,closed-proven,Keep as proof scaffolding or generated-token mirror; do not treat as production visual source.,rendered button alpha + live path segment zero-delta table,Formula now uses named LauncherGeometryTokens counts/divisors instead of raw shape or stroke multiplier.
GVT-0021,borders-strokes,java-usage,src/main/java/qupath/ext/astra/PipelineLauncher.java,409,,java-visual-literal,2.0,- (SURFACE_BORDER_WIDTH * 2.0);,tokenized-pass-2,closed-proven,Keep as proof scaffolding or generated-token mirror; do not treat as production visual source.,rendered stroke alpha bounds + border width pixel scans,Formula now uses named LauncherGeometryTokens counts/divisors instead of raw shape or stroke multiplier.
GVT-0022,margins-padding-gaps-spacing,java-usage,src/main/java/qupath/ext/astra/PipelineLauncher.java,417,,java-visual-literal,2.0,- (WORKFLOW_ROW_INSET * 2.0),already-tokenized,closed-proven,Keep semantic spacing token/formula and verify with targeted geometry overlay.,geometry-overlay CSV expected/observed/delta; /private/tmp/astra-spacing-pass-final,Workflow chip width now uses BILATERAL_EDGE_COUNT for row insets and node gap count.
GVT-0023,header-footer-tab-shape-metrics,java-usage,src/main/java/qupath/ext/astra/PipelineLauncher.java,443,,java-visual-literal,2.0,+ (ACTION_SHELL_INSET * 2.0);,tokenized-pass-2,closed-proven,Keep as proof scaffolding or generated-token mirror; do not treat as production visual source.,rendered button alpha + live path segment zero-delta table,Formula now uses named LauncherGeometryTokens counts/divisors instead of raw shape or stroke multiplier.
GVT-0024,bevels-radii-arcs-tab-curvature,java-usage,src/main/java/qupath/ext/astra/PipelineLauncher.java,486,,java-visual-literal,2.0,"return Math.min(configuredBevelRadius, height / LauncherGeometryTokens.BEVEL_DIAMETER_DIVISOR);",tokenized-pass-1,closed-proven,Keep tab bevel clamp derived from BEVEL_DIAMETER_DIVISOR.,rendered alpha bounds + path segment extraction + curve tangent/end-point proof,Pass 1 resolved folder-tab bevel clamp literal through shared bevel diameter divisor.
GVT-0025,margins-padding-gaps-spacing,java-usage,src/main/java/qupath/ext/astra/PipelineLauncher.java,532,,java-visual-literal,2.0,LauncherGeometry.INTRA_PANEL_MARGIN - (SURFACE_BORDER_WIDTH * 2.0);,already-tokenized,closed-proven,Keep but verify semantic family and rendered proof coverage.,rendered bounds + overlay line deltas + CSV expected/observed/delta,Java visual/layout/timing literal or formula candidate.
GVT-0026,control-geometry,java-usage,src/main/java/qupath/ext/astra/PipelineLauncher.java,557,,java-visual-literal,7.0 5.0,PROJECT_LIST_WIDTH * 7.0 / 5.0;,tokenized-pass-3,closed-proven,Control geometry now routes through named LauncherGeometryTokens or explicit control helper methods; keep focused control diagnostics in sync.,focused control geometry diagnostics plus PipelineLauncherTest source guards,Control-geometry pass 3 resolved this production row with a named token/helper; screenshot review remains QA only.
GVT-0027,control-geometry,java-usage,src/main/java/qupath/ext/astra/PipelineLauncher.java,559,,java-visual-literal,7.0 8.0,PROJECT_LIST_HEIGHT * 7.0 / 8.0;,tokenized-pass-3,closed-proven,Control geometry now routes through named LauncherGeometryTokens or explicit control helper methods; keep focused control diagnostics in sync.,focused control geometry diagnostics plus PipelineLauncherTest source guards,Control-geometry pass 3 resolved this production row with a named token/helper; screenshot review remains QA only.
GVT-0028,margins-padding-gaps-spacing,java-usage,src/main/java/qupath/ext/astra/PipelineLauncher.java,579,,java-visual-literal,2.0,LauncherGeometry.INTRA_PANEL_MARGIN - (SURFACE_BORDER_WIDTH * 2.0);,already-tokenized,closed-proven,Keep but verify semantic family and rendered proof coverage.,rendered bounds + overlay line deltas + CSV expected/observed/delta,Java visual/layout/timing literal or formula candidate.
GVT-0029,margins-padding-gaps-spacing,java-usage,src/main/java/qupath/ext/astra/PipelineLauncher.java,588,,java-visual-literal,2.0,- (DASHBOARD_CARD_INSET * 2.0),already-tokenized,closed-proven,Keep semantic spacing token/formula and verify with targeted geometry overlay.,geometry-overlay CSV expected/observed/delta; /private/tmp/astra-spacing-pass-final,Dashboard card body height now uses BILATERAL_EDGE_COUNT.
GVT-0030,borders-strokes,java-usage,src/main/java/qupath/ext/astra/PipelineLauncher.java,589,,java-visual-literal,2.0,- (SURFACE_BORDER_WIDTH * 2.0);,tokenized-pass-2,closed-proven,Keep as proof scaffolding or generated-token mirror; do not treat as production visual source.,rendered stroke alpha bounds + border width pixel scans,Formula now uses named LauncherGeometryTokens counts/divisors instead of raw shape or stroke multiplier.
GVT-0031,margins-padding-gaps-spacing,java-usage,src/main/java/qupath/ext/astra/PipelineLauncher.java,594,,java-visual-literal,2.0,- (LauncherGeometry.INTRA_PANEL_SUBTLE_GAP * 2.0),already-tokenized,closed-proven,Keep but verify semantic family and rendered proof coverage.,rendered bounds + overlay line deltas + CSV expected/observed/delta,Java visual/layout/timing literal or formula candidate.
GVT-0032,control-geometry,java-usage,src/main/java/qupath/ext/astra/PipelineLauncher.java,599,,java-visual-literal,2.0 3.0,(DASHBOARD_CARD_HEIGHT * 2.0 * 3.0),tokenized-pass-3,closed-proven,Control geometry now routes through named LauncherGeometryTokens or explicit control helper methods; keep focused control diagnostics in sync.,focused control geometry diagnostics plus PipelineLauncherTest source guards,Control-geometry pass 3 resolved this production row with a named token/helper; screenshot review remains QA only.
GVT-0033,margins-padding-gaps-spacing,java-usage,src/main/java/qupath/ext/astra/PipelineLauncher.java,600,,java-visual-literal,2.0,+ (SECTION_CONTENT_GAP * 2.0);,already-tokenized,closed-proven,Keep semantic spacing token/formula and verify with targeted geometry overlay.,geometry-overlay CSV expected/observed/delta; /private/tmp/astra-spacing-pass-final,Dashboard grid max width now uses BILATERAL_EDGE_COUNT and TRILATERAL_EDGE_COUNT.
GVT-0034,margins-padding-gaps-spacing,java-usage,src/main/java/qupath/ext/astra/PipelineLauncher.java,628,,java-visual-literal,2.0,LauncherGeometry.INTRA_PANEL_TIGHT_GAP + (SURFACE_BORDER_WIDTH * 2.0);,already-tokenized,closed-proven,Keep but verify semantic family and rendered proof coverage.,rendered bounds + overlay line deltas + CSV expected/observed/delta,Java visual/layout/timing literal or formula candidate.
GVT-0035,margins-padding-gaps-spacing,java-usage,src/main/java/qupath/ext/astra/PipelineLauncher.java,636,,java-visual-literal,2.0,LauncherGeometry.INTRA_PANEL_MARGIN + (SURFACE_BORDER_WIDTH * 2.0);,already-tokenized,closed-proven,Keep but verify semantic family and rendered proof coverage.,rendered bounds + overlay line deltas + CSV expected/observed/delta,Java visual/layout/timing literal or formula candidate.
GVT-0036,margins-padding-gaps-spacing,java-usage,src/main/java/qupath/ext/astra/PipelineLauncher.java,638,,java-visual-literal,2.0,LauncherGeometry.INTRA_PANEL_TIGHT_GAP + (SURFACE_BORDER_WIDTH * 2.0);,already-tokenized,closed-proven,Keep but verify semantic family and rendered proof coverage.,rendered bounds + overlay line deltas + CSV expected/observed/delta,Java visual/layout/timing literal or formula candidate.
GVT-0037,borders-strokes,java-usage,src/main/java/qupath/ext/astra/PipelineLauncher.java,648,,java-visual-literal,2.0,SURFACE_BORDER_WIDTH / 2.0;,tokenized-pass-2,closed-proven,Keep as proof scaffolding or generated-token mirror; do not treat as production visual source.,rendered stroke alpha bounds + border width pixel scans,Formula now uses named LauncherGeometryTokens counts/divisors instead of raw shape or stroke multiplier.
GVT-0038,margins-padding-gaps-spacing,java-usage,src/main/java/qupath/ext/astra/PipelineLauncher.java,652,,java-visual-literal,5.0,HELP_SUMMARY_LABEL_WIDTH + (LauncherGeometry.INTRA_PANEL_MARGIN * 5.0);,already-tokenized,closed-proven,Keep but verify semantic family and rendered proof coverage.,rendered bounds + overlay line deltas + CSV expected/observed/delta,Java visual/layout/timing literal or formula candidate.
GVT-0039,control-geometry,java-constant,src/main/java/qupath/ext/astra/PipelineLauncher.java,707,MULTI_SELECT_BUTTON_SUMMARY_LIMIT,java-visual-literal,64,private static final int MULTI_SELECT_BUTTON_SUMMARY_LIMIT = 64;,tokenized-pass-3,closed-proven,Control geometry now routes through named LauncherGeometryTokens or explicit control helper methods; keep focused control diagnostics in sync.,focused control geometry diagnostics plus PipelineLauncherTest source guards,Control-geometry pass 3 resolved this production row with a named token/helper; screenshot review remains QA only.
GVT-0040,header-footer-tab-shape-metrics,java-usage,src/main/java/qupath/ext/astra/PipelineLauncher.java,714,,java-visual-literal,2.0,- (HeaderGeometry.ACTION_RIBBON_INSET * 2.0),already-tokenized,closed-proven,Keep but verify semantic family and rendered proof coverage.,rendered button alpha + live path segment zero-delta table,Java visual/layout/timing literal or formula candidate.
GVT-0041,margins-padding-gaps-spacing,java-usage,src/main/java/qupath/ext/astra/PipelineLauncher.java,798,,java-visual-literal,2.0,- (PARAMETER_ROW_HORIZONTAL_PADDING * 2.0),already-tokenized,closed-proven,Keep semantic spacing token/formula and verify with targeted geometry overlay.,geometry-overlay CSV expected/observed/delta; /private/tmp/astra-spacing-pass-final,Parameter label text width now uses BILATERAL_EDGE_COUNT.
GVT-0042,opacity-translucency-disabled,java-usage,src/main/java/qupath/ext/astra/PipelineLauncher.java,4174,,opacity,1.0d 0.48d,motionRow.setOpacity(enabled ? 1.0d : 0.48d);,tokenized-pass-5,closed-proven,Keep production Java theme values routed through LauncherThemeTokens.,PipelineLauncherTest theme-token source guards plus targeted state screenshots,Theme/state pass 5 moved this production color or opacity value behind LauncherThemeTokens; dynamic channel RGB remains a documented data-driven exception.
GVT-0043,control-geometry,java-usage,src/main/java/qupath/ext/astra/PipelineLauncher.java,4705,,height,0,widthProbe.setMaxHeight(0);,tokenized-pass-3,closed-proven,Control geometry now routes through named LauncherGeometryTokens or explicit control helper methods; keep focused control diagnostics in sync.,focused control geometry diagnostics plus PipelineLauncherTest source guards,Control-geometry pass 3 resolved this production row with a named token/helper; screenshot review remains QA only.
GVT-0044,colors-theme-semantic-roles,java-usage,src/main/java/qupath/ext/astra/PipelineLauncher.java,5182,,setStyle,3140 #31404a,"swatch.setStyle(""-fx-fill: "" + channelColor(channel) + ""; -fx-stroke: #31404a; -fx-stroke-width: "" + CHANNEL_SWATCH_STROKE_WIDTH + "";"");",tokenized-pass-5,closed-proven,Keep production Java theme values routed through LauncherThemeTokens.,PipelineLauncherTest theme-token source guards plus targeted state screenshots,Theme/state pass 5 moved this production color or opacity value behind LauncherThemeTokens; dynamic channel RGB remains a documented data-driven exception.
GVT-0045,motion-animation-gradient-speed,java-usage,src/main/java/qupath/ext/astra/PipelineLauncher.java,6273,,java-visual-literal,-1.0d,"Math.max(LauncherGeometry.FLUSH, shimmer.prefWidth(-1.0d)),",tokenized-pass-6,closed-proven,"Keep production motion, timeout, shimmer, and gradient texture policy routed through LauncherMotionTokens.",LauncherMotionTokens source guard plus gradient motion/seam preview diagnostics.,"Motion pass 6 routed production timing, shimmer, texture, seam, dither, and runtime timeout policy through LauncherMotionTokens."
GVT-0046,motion-animation-gradient-speed,java-usage,src/main/java/qupath/ext/astra/PipelineLauncher.java,6347,,java-visual-literal,-1.0d,"double shimmerWidth = Math.max(LauncherGeometry.FLUSH, shimmer.prefWidth(-1.0d));",tokenized-pass-6,closed-proven,"Keep production motion, timeout, shimmer, and gradient texture policy routed through LauncherMotionTokens.",LauncherMotionTokens source guard plus gradient motion/seam preview diagnostics.,"Motion pass 6 routed production timing, shimmer, texture, seam, dither, and runtime timeout policy through LauncherMotionTokens."
GVT-0047,motion-animation-gradient-speed,java-usage,src/main/java/qupath/ext/astra/PipelineLauncher.java,6616,,motion/duration,1.0,"elapsedHeartbeat = new Timeline(new KeyFrame(Duration.seconds(1.0), event -> output.refreshTimelineElapsed()));",tokenized-pass-6,closed-proven,"Keep production motion, timeout, shimmer, and gradient texture policy routed through LauncherMotionTokens.",LauncherMotionTokens source guard plus gradient motion/seam preview diagnostics.,"Motion pass 6 routed production timing, shimmer, texture, seam, dither, and runtime timeout policy through LauncherMotionTokens."
GVT-0048,motion-animation-gradient-speed,java-usage,src/main/java/qupath/ext/astra/PipelineLauncher.java,7067,,motion/duration,350.0,"pendingSave = new Timeline(new KeyFrame(Duration.millis(350.0), event -> saveCurrent()));",tokenized-pass-6,closed-proven,"Keep production motion, timeout, shimmer, and gradient texture policy routed through LauncherMotionTokens.",LauncherMotionTokens source guard plus gradient motion/seam preview diagnostics.,"Motion pass 6 routed production timing, shimmer, texture, seam, dither, and runtime timeout policy through LauncherMotionTokens."
GVT-0049,colors-theme-semantic-roles,java-usage,src/main/java/qupath/ext/astra/PipelineLauncher.java,8435,,color,12px #fbfdff,"return ""-fx-font-family: "" + FONT_STACK + ""; -fx-font-size: 12px; -fx-background-color: #fbfdff; "" +",tokenized-pass-5,closed-proven,Keep production Java theme values routed through LauncherThemeTokens.,PipelineLauncherTest theme-token source guards plus targeted state screenshots,Theme/state pass 5 moved this production color or opacity value behind LauncherThemeTokens; dynamic channel RGB remains a documented data-driven exception.
GVT-0050,bevels-radii-arcs-tab-curvature,java-usage,src/main/java/qupath/ext/astra/PipelineLauncher.java,8436,,java-visual-literal,4 4,"""-fx-border-radius: "" + compactBevelCss() + ""; -fx-background-radius: "" + compactBevelCss()",tokenized-pass-1,closed-proven,Keep inline legacy control style routed through COMPACT_BEVEL_RADIUS until the editor is fully CSS-owned.,rendered alpha bounds + path segment extraction + curve tangent/end-point proof,Pass 1 quarantined remaining legacy inline control bevel behind LauncherGeometryTokens.COMPACT_BEVEL_RADIUS.
GVT-0051,margins-padding-gaps-spacing,java-constant,src/main/java/qupath/ext/astra/LauncherGeometryTokens.java,10,INTRA_PANEL_MARGIN,java-visual-literal,2.0,static final double INTRA_PANEL_MARGIN = OUTER_MARGIN / 2.0;,already-tokenized,closed-proven,Keep semantic spacing token/formula and verify with targeted geometry overlay.,geometry-overlay CSV expected/observed/delta; /private/tmp/astra-spacing-pass-final,INTRA_PANEL_MARGIN now derives from BILATERAL_EDGE_COUNT.
GVT-0052,margins-padding-gaps-spacing,java-constant,src/main/java/qupath/ext/astra/LauncherGeometryTokens.java,11,INTRA_PANEL_TIGHT_GAP,java-visual-literal,3.0,static final double INTRA_PANEL_TIGHT_GAP = INTRA_PANEL_MARGIN / 3.0;,already-tokenized,closed-proven,Keep semantic spacing token/formula and verify with targeted geometry overlay.,geometry-overlay CSV expected/observed/delta; /private/tmp/astra-spacing-pass-final,INTRA_PANEL_TIGHT_GAP now derives from TRILATERAL_EDGE_COUNT.
GVT-0053,margins-padding-gaps-spacing,java-constant,src/main/java/qupath/ext/astra/LauncherGeometryTokens.java,12,INTRA_PANEL_SUBTLE_GAP,java-visual-literal,2.0 3.0,static final double INTRA_PANEL_SUBTLE_GAP = INTRA_PANEL_MARGIN * 2.0 / 3.0;,already-tokenized,closed-proven,Keep semantic spacing token/formula and verify with targeted geometry overlay.,geometry-overlay CSV expected/observed/delta; /private/tmp/astra-spacing-pass-final,INTRA_PANEL_SUBTLE_GAP now derives from BILATERAL_EDGE_COUNT / TRILATERAL_EDGE_COUNT.
GVT-0054,borders-strokes,java-constant,src/main/java/qupath/ext/astra/LauncherGeometryTokens.java,13,SURFACE_BORDER_WIDTH,java-visual-literal,24.0,static final double SURFACE_BORDER_WIDTH = LAYOUT_UNIT / 24.0;,tokenized-pass-2,closed-proven,Keep as proof scaffolding or generated-token mirror; do not treat as production visual source.,rendered stroke alpha bounds + border width pixel scans,Formula now uses named LauncherGeometryTokens counts/divisors instead of raw shape or stroke multiplier.
GVT-0055,bevels-radii-arcs-tab-curvature,java-constant,src/main/java/qupath/ext/astra/LauncherGeometryTokens.java,17,ACTION_PROGRESS_RADIUS,radius/arc,2.0,static final double ACTION_PROGRESS_RADIUS = COMPACT_BEVEL_RADIUS;,tokenized-pass-1,closed-proven,Keep progress radius mapped to compact bevel family.,rendered alpha bounds + path segment extraction + curve tangent/end-point proof,Pass 1 classified progress radius under the compact/control bevel family.
GVT-0056,control-geometry,java-constant,src/main/java/qupath/ext/astra/LauncherGeometryTokens.java,18,ACTION_PROGRESS_MIN_WIDTH,java-visual-literal,8.0,static final double ACTION_PROGRESS_MIN_WIDTH = LAYOUT_UNIT * 8.0;,tokenized-pass-3,closed-proven,Control geometry now routes through named LauncherGeometryTokens or explicit control helper methods; keep focused control diagnostics in sync.,focused control geometry diagnostics plus PipelineLauncherTest source guards,Control-geometry pass 3 resolved this production row with a named token/helper; screenshot review remains QA only.
GVT-0057,margins-padding-gaps-spacing,java-usage,src/main/java/qupath/ext/astra/LauncherGeometryTokens.java,38,,java-visual-literal,2.0,LAYOUT_UNIT + INTRA_PANEL_SUBTLE_GAP + (SURFACE_BORDER_WIDTH * 2.0);,already-tokenized,closed-proven,Keep semantic spacing token/formula and verify with targeted geometry overlay.,geometry-overlay CSV expected/observed/delta; /private/tmp/astra-spacing-pass-final,BUTTON_HEIGHT now uses BILATERAL_EDGE_COUNT for border edges.
GVT-0058,motion-animation-gradient-speed,java-constant,src/main/java/qupath/ext/astra/RuntimeInstaller.java,84,COMMAND_TIMEOUT,motion/duration,45,private static final Duration COMMAND_TIMEOUT = Duration.ofMinutes(45);,tokenized-pass-6,closed-proven,"Keep production motion, timeout, shimmer, and gradient texture policy routed through LauncherMotionTokens.",LauncherMotionTokens source guard plus gradient motion/seam preview diagnostics.,"Motion pass 6 routed production timing, shimmer, texture, seam, dither, and runtime timeout policy through LauncherMotionTokens."
GVT-0059,motion-animation-gradient-speed,java-constant,src/main/java/qupath/ext/astra/RuntimeInstaller.java,85,BOOTSTRAP_TIMEOUT,motion/duration,20,private static final Duration BOOTSTRAP_TIMEOUT = Duration.ofMinutes(20);,tokenized-pass-6,closed-proven,"Keep production motion, timeout, shimmer, and gradient texture policy routed through LauncherMotionTokens.",LauncherMotionTokens source guard plus gradient motion/seam preview diagnostics.,"Motion pass 6 routed production timing, shimmer, texture, seam, dither, and runtime timeout policy through LauncherMotionTokens."
GVT-0060,motion-animation-gradient-speed,java-usage,src/main/java/qupath/ext/astra/RuntimeInstaller.java,732,,motion/duration,20,"CommandResult result = runCommand(List.of(candidate, ""--version""), null, Duration.ofSeconds(20), null, null);",tokenized-pass-6,closed-proven,"Keep production motion, timeout, shimmer, and gradient texture policy routed through LauncherMotionTokens.",LauncherMotionTokens source guard plus gradient motion/seam preview diagnostics.,"Motion pass 6 routed production timing, shimmer, texture, seam, dither, and runtime timeout policy through LauncherMotionTokens."
GVT-0061,motion-animation-gradient-speed,java-usage,src/main/java/qupath/ext/astra/RuntimeInstaller.java,912,,motion/duration,20 0,"return runCommand(List.of(conda.getAbsolutePath(), ""--version""), null, Duration.ofSeconds(20), null, null).exitCode() == 0;",tokenized-pass-6,closed-proven,"Keep production motion, timeout, shimmer, and gradient texture policy routed through LauncherMotionTokens.",LauncherMotionTokens source guard plus gradient motion/seam preview diagnostics.,"Motion pass 6 routed production timing, shimmer, texture, seam, dither, and runtime timeout policy through LauncherMotionTokens."
GVT-0062,motion-animation-gradient-speed,java-usage,src/main/java/qupath/ext/astra/RuntimeInstaller.java,924,,motion/duration,30,connection.setConnectTimeout((int) Duration.ofSeconds(30).toMillis());,tokenized-pass-6,closed-proven,"Keep production motion, timeout, shimmer, and gradient texture policy routed through LauncherMotionTokens.",LauncherMotionTokens source guard plus gradient motion/seam preview diagnostics.,"Motion pass 6 routed production timing, shimmer, texture, seam, dither, and runtime timeout policy through LauncherMotionTokens."
