id,surface,state,source_file,source_symbol_or_selector,visual_families,proof_required,coverage_status,notes
GSC-0017,header Settings page,default,src/main/java/qupath/ext/astra/PipelineLauncher.java,settingsHeaderActions,button families;popup/dialog geometry;colors/theme/semantic roles;margins/padding/gaps,page screenshot plus action-row geometry table,covered-needs-rendered-proof,Reset save and load actions live here.
GSC-0018,header Project page,default,src/main/java/qupath/ext/astra/PipelineLauncher.java,projectHeaderActions,button families;popup/dialog geometry;colors/theme/semantic roles;margins/padding/gaps,page screenshot plus action-row geometry table,covered-needs-rendered-proof,Reset image reset project export actions live here.
GSC-0019,header View page,default,src/main/java/qupath/ext/astra/PipelineLauncher.java,viewHeaderActions,button families;control geometry;motion/animation/gradient speed;margins/padding/gaps,page screenshot plus selected state table,covered-needs-rendered-proof,Run log and gradient controls live here.
GSC-0020,header action segments,selected,src/main/resources/qupath/ext/astra/launcher.css,.astra-header-segment-button:selected,button families;colors/theme/semantic roles;opacity/translucency/disabled state;typography/text ink,selected state screenshot plus text readability proof,covered-needs-rendered-proof,Previous green overlay invisibility belongs here.
GSC-0021,header action segments,disabled,src/main/java/qupath/ext/astra/PipelineLauncher.java,motionRow.setOpacity,opacity/translucency/disabled state;button families;typography/text ink,disabled state contrast proof,covered-needs-rendered-proof,Gradient speed row disabled state is covered.
GSC-0022,header fallback menu button,dropdown open,src/main/java/qupath/ext/astra/PipelineLauncher.java,createHeaderMenuButton,dropdown/menu/list geometry;button families;popup/dialog geometry;z-layer/clipping/edge artifacts,actual popup-window capture plus anchor delta table,covered-needs-rendered-proof,Fallback remains covered while present.
GSC-0023,header fallback context menu,default,src/main/java/qupath/ext/astra/PipelineLauncher.java,ContextMenu menu = new ContextMenu(),dropdown/menu/list geometry;colors/theme/semantic roles;margins/padding/gaps;typography/text ink,actual popup capture plus style-class scan,covered-needs-rendered-proof,Not native-exempt.
GSC-0024,header fallback menu item,hover,src/main/resources/qupath/ext/astra/launcher.css,.menu-item:focused,dropdown/menu/list geometry;colors/theme/semantic roles;typography/text ink,state screenshot and text contrast proof,covered-needs-rendered-proof,JavaFX focused selector is hover-like menu row state.
GSC-0025,header fallback menu item,selected,src/main/resources/qupath/ext/astra/launcher.css,.astra-header-segment-button:selected,dropdown/menu/list geometry;button families;colors/theme/semantic roles;typography/text ink,selected action capture plus contrast proof,covered-needs-rendered-proof,Segment rows inside menu are covered.
GSC-0026,header workflow stages,temporarily unmounted,src/main/java/qupath/ext/astra/PipelineLauncher.java,HEADER_WORKFLOW_VISIBLE and createHeaderWorkflowRow,control geometry;bevels/radii/arcs/tab curvature;typography/text ink;margins/padding/gaps,source guard plus restoration preview when remounted,covered-test-only,Workflow implementation is retained but intentionally absent from the current header iteration.
GSC-0027,header workflow stage,active,src/main/java/qupath/ext/astra/PipelineLauncher.java,astra-workflow-step-active,colors/theme/semantic roles;control geometry;typography/text ink,pixel sampling plus alpha text proof,covered-needs-rendered-proof,Active pipeline stage uses the selected beveled-box treatment.
GSC-0028,dashboard grid,dashboard mode,src/main/java/qupath/ext/astra/PipelineLauncher.java,createDashboardCards,control geometry;margins/padding/gaps;z-layer/clipping/edge artifacts,three-column rendered bounds table,covered-needs-rendered-proof,Default card layout is covered.
GSC-0029,dashboard card,default,src/main/java/qupath/ext/astra/PipelineLauncher.java,createDashboardCard,bevels/radii/arcs/tab curvature;margins/padding/gaps;typography/text ink;colors/theme/semantic roles,rendered card bounds plus text alpha proof,covered-bevel-pass-1-proof,Bevel-adjacent proof: /private/tmp/astra-bevel-pass-proof-geometry/dashboard-geometry-overlay.md.
GSC-0030,dashboard card,hover,src/main/resources/qupath/ext/astra/launcher.css,.astra-settings-card:hover,colors/theme/semantic roles;shadows/effects;bevels/radii/arcs/tab curvature,hover screenshot plus pixel sampling,covered-needs-rendered-proof,Hover effect covered.
GSC-0031,dashboard card,pressed,src/main/resources/qupath/ext/astra/launcher.css,.astra-settings-card:pressed,colors/theme/semantic roles;shadows/effects;bevels/radii/arcs/tab curvature,pressed screenshot plus pixel sampling,covered-needs-rendered-proof,Pressed effect covered.
GSC-0032,focused card page,focused card mode,src/main/java/qupath/ext/astra/PipelineLauncher.java,showFocusedSection,control geometry;margins/padding/gaps;typography/text ink;button families,focused page screenshot plus rail table,covered-needs-rendered-proof,Card-click page state.
GSC-0033,focused card header,default,src/main/java/qupath/ext/astra/PipelineLauncher.java,focused section header block,typography/text ink;margins/padding/gaps;colors/theme/semantic roles,rendered badge-title-subtitle rails,covered-needs-rendered-proof,Importance title subtitle pattern is covered.
GSC-0034,all settings pane,all settings mode,src/main/java/qupath/ext/astra/PipelineLauncher.java,showAllSettings,control geometry;margins/padding/gaps;z-layer/clipping/edge artifacts;typography/text ink,long-list geometry and scrollbar proof,covered-needs-rendered-proof,All sections visible mode.
GSC-0035,collapsible section header,expanded,src/main/java/qupath/ext/astra/PipelineLauncher.java,createCollapsibleSection,bevels/radii/arcs/tab curvature;colors/theme/semantic roles;button families;typography/text ink,state screenshot and arrow bounds proof,covered-needs-rendered-proof,Expanded section state.
GSC-0036,collapsible section header,collapsed,src/main/java/qupath/ext/astra/PipelineLauncher.java,createCollapsibleSection,bevels/radii/arcs/tab curvature;colors/theme/semantic roles;button families;typography/text ink,state screenshot and arrow bounds proof,covered-needs-rendered-proof,Collapsed section state.
GSC-0037,collapsible section header,hover,src/main/resources/qupath/ext/astra/launcher.css,.astra-collapsible-header:hover,button families;colors/theme/semantic roles;shadows/effects,state screenshot and pixel sampling,covered-needs-rendered-proof,Section hover grammar.
GSC-0038,collapsible section header,pressed,src/main/resources/qupath/ext/astra/launcher.css,.astra-collapsible-header:pressed,button families;colors/theme/semantic roles;shadows/effects,state screenshot and pixel sampling,covered-needs-rendered-proof,Section pressed grammar.
GSC-0039,settings scroll pane,default,src/main/java/qupath/ext/astra/PipelineLauncher.java,ScrollPane settingsScroll,control geometry;margins/padding/gaps;z-layer/clipping/edge artifacts,scrollbar gutter proof and no horizontal scroll check,covered-needs-rendered-proof,Always-visible vertical bar is covered.
GSC-0040,settings scroll pane,disabled scrollbar,src/main/resources/qupath/ext/astra/launcher.css,.astra-settings-scroll .scroll-bar:vertical:disabled,opacity/translucency/disabled state;control geometry,disabled scrollbar visibility proof,covered-needs-rendered-proof,Reserved lane state.
GSC-0041,channel warning panel,default,src/main/java/qupath/ext/astra/PipelineLauncher.java,channel warning panel,bevels/radii/arcs/tab curvature;margins/padding/gaps;colors/theme/semantic roles;typography/text ink,rendered panel bounds plus contrast proof,covered-needs-rendered-proof,Open image channels panel.
GSC-0042,channel chip and swatch,default,src/main/java/qupath/ext/astra/PipelineLauncher.java,channelColor(channel),colors/theme/semantic roles;borders/strokes;control geometry,dynamic color exemption review plus swatch pixel sampling,covered-needs-rendered-proof,Dynamic channel colors need documented exemption if retained.
GSC-0043,advanced locked panel,advanced locked,src/main/java/qupath/ext/astra/PipelineLauncher.java,createAdvancedLockedPanel,control geometry;margins/padding/gaps;typography/text ink;button families,rendered field/button vertical ink proof,covered-needs-rendered-proof,Unlock phrase field symptom belongs here.
GSC-0044,advanced unlocked panel,advanced unlocked,src/main/java/qupath/ext/astra/PipelineLauncher.java,advanced unlock state,control geometry;margins/padding/gaps;typography/text ink;dependent panel geometry,advanced unlocked screenshot and rail table,covered-needs-rendered-proof,Advanced settings state.
GSC-0045,advanced unlock text field,focused,src/main/java/qupath/ext/astra/PipelineLauncher.java,phrase text field,typography/text ink;control geometry;colors/theme/semantic roles,transparent node snapshot alpha vertical center proof,covered-needs-rendered-proof,Text field ink-centering state.
GSC-0046,advanced unlock text field,unfocused,src/main/java/qupath/ext/astra/PipelineLauncher.java,phrase text field,typography/text ink;control geometry;colors/theme/semantic roles,transparent node snapshot alpha vertical center proof,covered-needs-rendered-proof,Unfocused prompt text state.
GSC-0047,parameter row,default,src/main/java/qupath/ext/astra/PipelineLauncher.java,createParameterRow,control geometry;margins/padding/gaps;typography/text ink;button families,rendered row rail delta table,covered-needs-rendered-proof,Canonical row grid.
GSC-0048,parameter row,changed-from-default,src/main/java/qupath/ext/astra/PipelineLauncher.java,isAtDefaultValue,colors/theme/semantic roles;borders/strokes;typography/text ink,state screenshot plus style-class scan,covered-needs-rendered-proof,Changed editor style path is covered.
GSC-0049,parameter row,validation error,src/main/java/qupath/ext/astra/PipelineLauncher.java,parse editor error path,colors/theme/semantic roles;borders/strokes;typography/text ink,error-state synthetic preview required,covered-needs-rendered-proof,Validation state must be proven if reachable.
GSC-0050,multi-line parameter row,default,src/main/java/qupath/ext/astra/PipelineLauncher.java,labelBox.setMinHeight(PARAMETER_ROW_HEIGHT),typography/text ink;control geometry;margins/padding/gaps,full-row vertical center alpha proof,covered-needs-rendered-proof,Multi-line label center contract.
GSC-0051,parameter accent bar,static gradient mode,src/main/java/qupath/ext/astra/PipelineLauncher.java,ParameterAccentBar,gradient texture tiling/seams;bevels/radii/arcs/tab curvature;control geometry,rendered alpha bounds plus seam sampling,covered-bevel-pass-1-proof,Accent arc tokenized through BEVEL_DIAMETER_DIVISOR; proof: /private/tmp/astra-bevel-pass-proof-geometry/models-geometry-overlay.md.
GSC-0052,parameter accent bar,dynamic gradient on,src/main/java/qupath/ext/astra/PipelineLauncher.java,ParameterAccentBar gradientSurface.setDirection,gradient texture tiling/seams;motion/animation/gradient speed;control geometry,seam sampling plus direction frame delta,covered-needs-rendered-proof,Vertical direction bug belongs here.
GSC-0053,help icon button,default,src/main/java/qupath/ext/astra/PipelineLauncher.java,GuiText.helpButton("?"),button families;control geometry;typography/text ink;margins/padding/gaps,rendered glyph alpha and help-column rail proof,covered-needs-rendered-proof,Question mark visibility covered.
GSC-0054,help icon button,hover,src/main/resources/qupath/ext/astra/launcher.css,.astra-button:hover,button families;colors/theme/semantic roles;typography/text ink,hover screenshot plus glyph alpha proof,covered-needs-rendered-proof,Help hover state.
GSC-0055,help tooltip,popup open,src/main/java/qupath/ext/astra/PipelineLauncher.java,installReliableTooltip,dropdown/menu/list geometry;popup/dialog geometry;typography/text ink;colors/theme/semantic roles,actual tooltip popup capture plus bounds table,covered-needs-rendered-proof,Tooltips are extension-owned for coverage.
GSC-0056,dependent panel shell,default,src/main/java/qupath/ext/astra/PipelineLauncher.java,createDependentPanel,dependent panel geometry;margins/padding/gaps;bevels/radii/arcs/tab curvature;colors/theme/semantic roles,rendered inner outer rail delta table,covered-bevel-pass-1-proof,Dependent shell proof: /private/tmp/astra-bevel-pass-proof-geometry/models-geometry-overlay.md.
GSC-0057,dependent panel shell,disabled,src/main/java/qupath/ext/astra/PipelineLauncher.java,astra-parameter-row-dependent-disabled,opacity/translucency/disabled state;typography/text ink;colors/theme/semantic roles,disabled contrast and alpha proof,covered-needs-rendered-proof,Visible-disabled dependency state.
GSC-0058,dependent panel title,default,src/main/java/qupath/ext/astra/PipelineLauncher.java,dependentTitlePadding,typography/text ink;margins/padding/gaps;dependent panel geometry,rendered title ink rail proof,covered-needs-rendered-proof,Known tricky title indent.
GSC-0059,dependent row,default,src/main/java/qupath/ext/astra/PipelineLauncher.java,dependentRowsPadding,dependent panel geometry;margins/padding/gaps;typography/text ink;button families,rendered nested row rail proof,covered-needs-rendered-proof,Nested rows cannot shift help column.
GSC-0060,nested model-source panels,default,src/main/java/qupath/ext/astra/PipelineLauncher.java,MODEL_SOURCE_CARD_INSET,dependent panel geometry;control geometry;margins/padding/gaps;typography/text ink,models focused screenshot and zero-delta rail table,covered-needs-rendered-proof,Model source controls.
GSC-0061,nested threshold panels,default,src/main/java/qupath/ext/astra/PipelineLauncher.java,NESTED_PANEL_INSET,dependent panel geometry;control geometry;margins/padding/gaps;typography/text ink,threshold panel screenshot and rail table,covered-needs-rendered-proof,Threshold and custom nested panels.
GSC-0062,combo box closed,default,src/main/java/qupath/ext/astra/PipelineLauncher.java,styleComboBox,control geometry;dropdown/menu/list geometry;typography/text ink;colors/theme/semantic roles,closed combo rendered bounds and text alpha proof,covered-bevel-pass-1-proof,Combo closed proof: /private/tmp/astra-bevel-pass-proof-combo/closed-combo-geometry.md.
GSC-0063,combo box closed,focused,src/main/resources/qupath/ext/astra/launcher.css,.astra-combo:focused,control geometry;colors/theme/semantic roles;borders/strokes;typography/text ink,focused state screenshot and contrast proof,covered-needs-rendered-proof,Focused combo state.
GSC-0064,combo box closed,disabled,src/main/resources/qupath/ext/astra/launcher.css,.combo-box-base.astra-combo:disabled,opacity/translucency/disabled state;typography/text ink;control geometry,disabled state screenshot and alpha proof,covered-needs-rendered-proof,Disabled combo state.
GSC-0065,combo popup,popup open,src/main/resources/qupath/ext/astra/launcher.css,.combo-box-popup .list-view,dropdown/menu/list geometry;z-layer/clipping/edge artifacts;colors/theme/semantic roles;typography/text ink,actual combo popup capture plus bounds table,covered-bevel-pass-1-proof,Combo popup/list proof: /private/tmp/astra-bevel-pass-proof-combo/combo-popup-geometry.md.
GSC-0066,combo popup row,combo row hover,src/main/resources/qupath/ext/astra/launcher.css,.combo-box-popup .list-cell:filled:hover,dropdown/menu/list geometry;colors/theme/semantic roles;typography/text ink,row hover screenshot and contrast proof,covered-needs-rendered-proof,Combo hover state.
GSC-0067,combo popup row,combo row selected,src/main/resources/qupath/ext/astra/launcher.css,.combo-box-popup .list-cell:filled:selected,dropdown/menu/list geometry;colors/theme/semantic roles;typography/text ink,row selected screenshot and contrast proof,covered-needs-rendered-proof,Selected row overlay bug belongs here.
GSC-0068,combo popup row,disabled,src/main/resources/qupath/ext/astra/launcher.css,.combo-box-popup .list-cell:disabled,opacity/translucency/disabled state;typography/text ink;dropdown/menu/list geometry,disabled row contrast proof,covered-needs-rendered-proof,Disabled popup cell state.
GSC-0069,text input control,default,src/main/java/qupath/ext/astra/PipelineLauncher.java,createTextField,typography/text ink;control geometry;margins/padding/gaps;colors/theme/semantic roles,transparent node snapshot alpha vertical center proof,covered-needs-rendered-proof,Launcher-owned text fields.
GSC-0070,text input control,focused,src/main/resources/qupath/ext/astra/launcher.css,.text-field:focused,typography/text ink;control geometry;borders/strokes;colors/theme/semantic roles,focused field rendered proof,covered-needs-rendered-proof,Focused field state.
GSC-0071,text input control,disabled,src/main/java/qupath/ext/astra/PipelineLauncher.java,activeEditor.setDisable,opacity/translucency/disabled state;typography/text ink;control geometry,disabled field contrast proof,covered-needs-rendered-proof,Dependent disabled fields included.
GSC-0072,checkbox control,default,src/main/java/qupath/ext/astra/PipelineLauncher.java,CheckBox checkBox = new CheckBox(),control geometry;colors/theme/semantic roles;button families,checkbox rendered bounds and selected mark proof,covered-needs-rendered-proof,Boolean editor.
GSC-0073,checkbox control,selected,src/main/resources/qupath/ext/astra/launcher.css,.check-box.astra-checkbox:selected .mark,control geometry;colors/theme/semantic roles;typography/text ink,selected mark screenshot,covered-needs-rendered-proof,Selected checkbox state.
GSC-0074,stage selector,default,src/main/java/qupath/ext/astra/PipelineLauncher.java,StageModeEditor,control geometry;button families;typography/text ink;margins/padding/gaps,rendered selector bounds and multi-line text proof,covered-needs-rendered-proof,Stages to run editor.
GSC-0075,multi-select dialog,default,src/main/java/qupath/ext/astra/PipelineLauncher.java,MultiSelectListEditor.openSelectionDialog,popup/dialog geometry;dropdown/menu/list geometry;margins/padding/gaps;button families,dialog capture plus list cell state table,covered-needs-rendered-proof,Stage selection dialog.
GSC-0076,multi-select list cell,selected,src/main/resources/qupath/ext/astra/launcher.css,.astra-list-view .list-cell:filled:selected,dropdown/menu/list geometry;colors/theme/semantic roles;typography/text ink,selected list-cell screenshot,covered-needs-rendered-proof,List selection state.
GSC-0077,multi-select list cell,hover,src/main/resources/qupath/ext/astra/launcher.css,.astra-list-view .list-cell:filled:hover,dropdown/menu/list geometry;colors/theme/semantic roles;typography/text ink,hover list-cell screenshot,covered-needs-rendered-proof,List hover state.
GSC-0078,project image selector panel,default,src/main/java/qupath/ext/astra/PipelineLauncher.java,SelectedImagesEditor,control geometry;button families;typography/text ink;margins/padding/gaps,focused Images and Scope screenshot,covered-needs-rendered-proof,Inline selected image controls.
GSC-0079,project image selection dialog,default,src/main/java/qupath/ext/astra/PipelineLauncher.java,SelectedImagesEditor.openSelectionDialog,popup/dialog geometry;dropdown/menu/list geometry;button families;margins/padding/gaps,dialog capture plus available/chosen list rail proof,covered-needs-rendered-proof,extension-owned dialog.
GSC-0080,project image filter field,focused,src/main/java/qupath/ext/astra/PipelineLauncher.java,filter.setPromptText,typography/text ink;control geometry;colors/theme/semantic roles,focused text-field alpha proof,covered-needs-rendered-proof,Dialog text input state.
GSC-0081,project image paste action,text-input dialog,src/main/java/qupath/ext/astra/PipelineLauncher.java,paste.setTooltip and paste action,popup/dialog geometry;typography/text ink;button families,dialog capture and text-field alpha proof,covered-needs-rendered-proof,Paste image names flow is extension-owned if dialog is custom.
GSC-0082,colocalization checks editor,default,src/main/java/qupath/ext/astra/PipelineLauncher.java,ColocalizationChecksEditor,control geometry;margins/padding/gaps;typography/text ink;button families,custom editor screenshot plus rail table,covered-needs-rendered-proof,Custom editor-heavy panel.
GSC-0083,colocalization check row,default,src/main/java/qupath/ext/astra/PipelineLauncher.java,CheckRow,control geometry;margins/padding/gaps;dropdown/menu/list geometry;typography/text ink,row screenshot and control-family proof,covered-needs-rendered-proof,Compartment and channel selectors.
GSC-0084,colocalization check delete button,hover,src/main/java/qupath/ext/astra/PipelineLauncher.java,Delete check Tooltip,button families;colors/theme/semantic roles;typography/text ink,button hover and tooltip capture,covered-needs-rendered-proof,Inline utility delete action.
GSC-0085,marker key map editor,default,src/main/java/qupath/ext/astra/PipelineLauncher.java,MarkerKeyMapEditor,control geometry;margins/padding/gaps;typography/text ink;dependent panel geometry,custom editor screenshot and text alpha proof,covered-needs-rendered-proof,Marker-key rows after checks.
GSC-0086,marker key empty state,default,src/main/java/qupath/ext/astra/PipelineLauncher.java,astra-marker-key-empty,typography/text ink;colors/theme/semantic roles;margins/padding/gaps,empty-state screenshot and text contrast proof,covered-needs-rendered-proof,Dynamic no-rows state.
GSC-0087,channel checkbox editor,default,src/main/java/qupath/ext/astra/PipelineLauncher.java,ChannelCheckboxEditor,control geometry;button families;typography/text ink;margins/padding/gaps,custom editor screenshot and checkbox proof,covered-needs-rendered-proof,Channel selector custom editor.
GSC-0088,asset-backed combo,default,src/main/java/qupath/ext/astra/PipelineLauncher.java,assetBackedCombo,control geometry;dropdown/menu/list geometry;typography/text ink,closed and open combo proof,covered-needs-rendered-proof,Models and saved assets.
GSC-0089,output pane shell,visible output pane,src/main/java/qupath/ext/astra/PipelineLauncher.java,OutputPane,control geometry;margins/padding/gaps;bevels/radii/arcs/tab curvature;colors/theme/semantic roles,output pane bounds and margin table,covered-needs-rendered-proof,Right pane visible state.
GSC-0090,output pane shell,hidden output pane,src/main/java/qupath/ext/astra/PipelineLauncher.java,Run Log Pane show hide,control geometry;margins/padding/gaps;z-layer/clipping/edge artifacts,hidden-output screenshot and workspace delta table,covered-needs-rendered-proof,View state affects layout.
GSC-0091,output header actions,default,src/main/java/qupath/ext/astra/PipelineLauncher.java,Copy All and Kill Run buttons,button families;control geometry;margins/padding/gaps;typography/text ink,macro button bounds table,covered-needs-rendered-proof,Output macro buttons.
GSC-0092,output Kill Run button,disabled,src/main/java/qupath/ext/astra/PipelineLauncher.java,kill run disabled state,button families;opacity/translucency/disabled state;colors/theme/semantic roles,disabled button screenshot and contrast proof,covered-needs-rendered-proof,Running state dependent.
GSC-0093,run log body,idle,src/main/java/qupath/ext/astra/StyledLogView.java,StyledLogView,control geometry;colors/theme/semantic roles;margins/padding/gaps;typography/text ink,idle log screenshot plus bottom-anchor proof,covered-needs-rendered-proof,Idle log body.
GSC-0094,run log body,active/running,src/main/java/qupath/ext/astra/StyledLogView.java,append log event,control geometry;typography/text ink;fades/overlays/masks;z-layer/clipping/edge artifacts,populated log screenshot plus auto-follow proof,covered-needs-rendered-proof,Running log state.
GSC-0095,run log top fade,default,src/main/java/qupath/ext/astra/StyledLogView.java,topFade,fades/overlays/masks;z-layer/clipping/edge artifacts;colors/theme/semantic roles,viewport-bound overlay proof plus alpha sampling,covered-needs-rendered-proof,Static fade not animated.
GSC-0096,run log status card,success,src/main/java/qupath/ext/astra/StyledLogView.java,statusContent,colors/theme/semantic roles;bevels/radii/arcs/tab curvature;margins/padding/gaps;typography/text ink,status card screenshot and pixel sampling,covered-needs-rendered-proof,Run Started and success status.
GSC-0097,run log status card,warning,src/main/java/qupath/ext/astra/StyledLogView.java,warning status,colors/theme/semantic roles;typography/text ink;button families,status card warning capture,covered-needs-rendered-proof,Warning row state.
GSC-0098,run log status card,error,src/main/java/qupath/ext/astra/StyledLogView.java,error status,colors/theme/semantic roles;typography/text ink;button families,status card error capture,covered-needs-rendered-proof,Error row state.
GSC-0099,run log failure summary,error,src/main/java/qupath/ext/astra/StyledLogView.java,failureSummary,colors/theme/semantic roles;margins/padding/gaps;bevels/radii/arcs/tab curvature;typography/text ink,failure pane screenshot,covered-needs-rendered-proof,Failure card must stay outside fade.
GSC-0100,run log card,default,src/main/java/qupath/ext/astra/StyledLogView.java,createLogCard,bevels/radii/arcs/tab curvature;margins/padding/gaps;colors/theme/semantic roles;typography/text ink,card bounds and text alpha proof,covered-needs-rendered-proof,Individual log messages.
GSC-0101,run log source badge,default,src/main/java/qupath/ext/astra/StyledLogView.java,badge source display,colors/theme/semantic roles;typography/text ink;control geometry,badge color and text proof,covered-needs-rendered-proof,Pipeline Script QuPath Cellpose etc.
GSC-0102,bottom progress lane,idle,src/main/java/qupath/ext/astra/PipelineLauncher.java,ActionProgressLane,control geometry;motion/animation/gradient speed;gradient texture tiling/seams;typography/text ink,idle lane screenshot and bounds proof,covered-needs-rendered-proof,Reserved bottom lane.
GSC-0103,bottom progress lane,active/running,src/main/java/qupath/ext/astra/PipelineLauncher.java,progressBar and shimmer,motion/animation/gradient speed;gradient texture tiling/seams;fades/overlays/masks,animated frame sampling and seam proof,covered-needs-rendered-proof,Shimmer/progress state.
GSC-0104,footer action shell,default,src/main/java/qupath/ext/astra/PipelineLauncher.java,FooterActionShell,header/footer tab shape metrics;bevels/radii/arcs/tab curvature;margins/padding/gaps;opacity/translucency/disabled state;gradient texture tiling/seams,live path segment table plus rendered alpha bounds and bottom action spacing proof,covered-spacing-pass-2-proof,Footer tab proof: /private/tmp/astra-bevel-pass-proof/header-footer-button-wall-proof.md. Bottom spacing proof: /private/tmp/astra-spacing-pass-complete.
GSC-0105,footer action buttons,default,src/main/java/qupath/ext/astra/PipelineLauncher.java,Cancel and Run buttons,button families;control geometry;typography/text ink;colors/theme/semantic roles;margins/padding/gaps,macro button bounds and bottom action spacing proof,covered-spacing-pass-2-proof,Cancel Run same family as output macros; bottom spacing proof: /private/tmp/astra-spacing-pass-complete.
GSC-0106,footer action buttons,pressed,src/main/resources/qupath/ext/astra/launcher.css,.astra-button:pressed,button families;colors/theme/semantic roles;opacity/translucency/disabled state,pressed state capture,covered-needs-rendered-proof,Bottom action pressed state.
GSC-0107,runtime setup confirmation dialog,default,src/main/java/qupath/ext/astra/RuntimeInstaller.java,confirmRuntimeSetup,popup/dialog geometry;button families;typography/text ink;margins/padding/gaps,dialog capture plus button family proof,covered-needs-rendered-proof,extension-owned runtime confirmation.
