family_no,family,checklist_item,status,evidence_level,primary_evidence,direct_inventory_examples,note
2,Header Dropdown Dynamic Placement,Settings dropdown left-aligned default state.,zero-delta,direct-measurement,v45-header-placement; v46-header-clamp,all-settings-geometry: section content left padding | all-settings-geometry: section content right padding | all-settings-geometry: section parameter row gap,Adaptive popup-window placement states are measured with actual popup captures.
2,Header Dropdown Dynamic Placement,Project dropdown left-aligned default state.,zero-delta,direct-measurement,v45-header-placement; v46-header-clamp,all-settings-geometry: section content left padding | channel-panel-geometry: channel title left inset | closed-combo-geometry: closed combo left cell inset,Adaptive popup-window placement states are measured with actual popup captures.
2,Header Dropdown Dynamic Placement,View dropdown left-aligned default state.,zero-delta,direct-measurement,v45-header-placement; v46-header-clamp,all-settings-geometry: section content left padding | channel-panel-geometry: channel title left inset | closed-combo-geometry: closed combo left cell inset,Adaptive popup-window placement states are measured with actual popup captures.
2,Header Dropdown Dynamic Placement,Settings dropdown right-on-overflow state.,zero-delta,direct-measurement,v45-header-placement; v46-header-clamp,all-settings-geometry: section content left padding | all-settings-geometry: section content right padding | all-settings-geometry: section parameter row gap,Adaptive popup-window placement states are measured with actual popup captures.
2,Header Dropdown Dynamic Placement,Project dropdown right-on-overflow state.,zero-delta,direct-measurement,v45-header-placement; v46-header-clamp,all-settings-geometry: section content right padding | custom-controls-geometry: section content right padding | dashboard-geometry-overlay: right outer margin,Adaptive popup-window placement states are measured with actual popup captures.
2,Header Dropdown Dynamic Placement,View dropdown right-on-overflow state.,zero-delta,direct-measurement,v45-header-placement; v46-header-clamp,all-settings-geometry: section content right padding | custom-controls-geometry: section content right padding | dashboard-geometry-overlay: right outer margin,Adaptive popup-window placement states are measured with actual popup captures.
2,Header Dropdown Dynamic Placement,Dropdown clamp when launcher is too narrow.,zero-delta,direct-measurement,v45-header-placement; v46-header-clamp,advanced-geometry: routine to advanced panel gap | all-settings-geometry: section content left padding | all-settings-geometry: section content right padding,Adaptive popup-window placement states are measured with actual popup captures.
2,Header Dropdown Dynamic Placement,Dropdown minimum readable width.,zero-delta,direct-measurement,v45-header-placement; v46-header-clamp,all-settings-geometry: section content left padding | all-settings-geometry: section content right padding | channel-panel-geometry: channel title left inset,Adaptive popup-window placement states are measured with actual popup captures.
2,Header Dropdown Dynamic Placement,Dropdown internal row width after alignment switch.,zero-delta,direct-measurement,v45-header-placement; v46-header-clamp,all-settings-geometry: section content left padding | all-settings-geometry: section content right padding | all-settings-geometry: section help column alignment,Adaptive popup-window placement states are measured with actual popup captures.
2,Header Dropdown Dynamic Placement,Dropdown vertical growth/scrolling if constrained.,zero-delta,direct-measurement,v45-header-placement; v46-header-clamp,channel-panel-geometry: channel panel child vertical gap | help-dialog-geometry-overlay: help detail card vertical gap | output-pane-geometry: log status card title top inset,Adaptive popup-window placement states are measured with actual popup captures.
2,Header Dropdown Dynamic Placement,Dropdown border-to-row inset.,zero-delta,direct-measurement,v45-header-placement; v46-header-clamp,all-settings-geometry: section content left padding | all-settings-geometry: section content right padding | channel-panel-geometry: channel title left inset,Adaptive popup-window placement states are measured with actual popup captures.
2,Header Dropdown Dynamic Placement,Dropdown row-to-row spacing.,zero-delta,direct-measurement,v45-header-placement; v46-header-clamp,header-menu-left-default-geometry: header context menu width | header-menu-left-default-geometry: header simple menu item left inset | header-menu-left-default-geometry: header simple menu item right inset,Adaptive popup-window placement states are measured with actual popup captures.
2,Header Dropdown Dynamic Placement,Dropdown disabled item padding.,zero-delta,direct-measurement,v45-header-placement; v46-header-clamp,project-menu-geometry: header simple menu item left inset | project-menu-geometry: header simple menu item right inset | settings-menu-geometry: header simple menu item left inset,Adaptive popup-window placement states are measured with actual popup captures.
2,Header Dropdown Dynamic Placement,Dropdown selected/active item padding.,zero-delta,direct-measurement,v45-header-placement; v46-header-clamp,project-menu-geometry: header simple menu item left inset | project-menu-geometry: header simple menu item right inset | selected-images-dialog-geometry: dialog title to list gap,Adaptive popup-window placement states are measured with actual popup captures.
3,View Menu Dynamic Controls,Run Log Pane `Show` segment padding.,zero-delta,direct-measurement,final-margin-pass-v3/view-menu-geometry.csv,segmentation-geometry-overlay: left outer margin | segmentation-geometry-overlay: input pane to output pane | segmentation-geometry-overlay: scrollbar gutter width,View menu panel and segmented control rows are measured.
3,View Menu Dynamic Controls,Run Log Pane `Hide` segment padding.,zero-delta,direct-measurement,final-margin-pass-v3/view-menu-geometry.csv,segmentation-geometry-overlay: left outer margin | segmentation-geometry-overlay: input pane to output pane | segmentation-geometry-overlay: scrollbar gutter width,View menu panel and segmented control rows are measured.
3,View Menu Dynamic Controls,Static/Dynamic gradient segment padding.,zero-delta,direct-measurement,final-margin-pass-v3/view-menu-geometry.csv,advanced-geometry: routine to advanced panel gap | all-settings-geometry: section content left padding | all-settings-geometry: section content right padding,View menu panel and segmented control rows are measured.
3,View Menu Dynamic Controls,Speed segment padding.,zero-delta,direct-measurement,final-margin-pass-v3/view-menu-geometry.csv,segmentation-geometry-overlay: left outer margin | segmentation-geometry-overlay: input pane to output pane | segmentation-geometry-overlay: scrollbar gutter width,View menu panel and segmented control rows are measured.
3,View Menu Dynamic Controls,Segment label rail.,zero-delta,direct-measurement,final-margin-pass-v3/view-menu-geometry.csv,models-geometry-overlay: dependent title to dependent row label | project-menu-geometry: header simple menu label left inset | segmentation-geometry-overlay: left outer margin,View menu panel and segmented control rows are measured.
3,View Menu Dynamic Controls,Segment label-to-control gap.,zero-delta,direct-measurement,final-margin-pass-v3/view-menu-geometry.csv,models-geometry-overlay: dependent title to dependent row label | project-menu-geometry: header simple menu label left inset | segmentation-geometry-overlay: left outer margin,View menu panel and segmented control rows are measured.
3,View Menu Dynamic Controls,Segment button-to-button gap.,zero-delta,direct-measurement,final-margin-pass-v3/view-menu-geometry.csv,segmentation-geometry-overlay: left outer margin | segmentation-geometry-overlay: input pane to output pane | segmentation-geometry-overlay: scrollbar gutter width,View menu panel and segmented control rows are measured.
3,View Menu Dynamic Controls,Segment row-to-row gap.,zero-delta,direct-measurement,final-margin-pass-v3/view-menu-geometry.csv,segmentation-geometry-overlay: left outer margin | segmentation-geometry-overlay: input pane to output pane | segmentation-geometry-overlay: scrollbar gutter width,View menu panel and segmented control rows are measured.
3,View Menu Dynamic Controls,View panel inner padding.,zero-delta,direct-measurement,final-margin-pass-v3/view-menu-geometry.csv,output-pane-geometry: output pane left inset to status card | output-pane-geometry: output pane right inset to status card | output-pane-geometry: copy button right rail,View menu panel and segmented control rows are measured.
3,View Menu Dynamic Controls,View panel outer menu shell padding.,zero-delta,direct-measurement,final-margin-pass-v3/view-menu-geometry.csv,dashboard-geometry-overlay: left outer margin | dashboard-geometry-overlay: input pane to output pane | dashboard-geometry-overlay: right outer margin,View menu panel and segmented control rows are measured.
4,Dashboard And Focused Navigation,Dashboard/All Settings toggle spacing.,zero-delta,direct-measurement,final-margin-pass-v3 dashboard and focused overlays,all-settings-geometry: section content left padding | all-settings-geometry: section content right padding | all-settings-geometry: section parameter row gap,Dashboard and focused panels are measured across dashboard and representative focused cards.
4,Dashboard And Focused Navigation,Dashboard/All Settings selected-state geometry.,zero-delta,direct-measurement,final-margin-pass-v3 dashboard and focused overlays,all-settings-geometry: section content left padding | all-settings-geometry: section content right padding | all-settings-geometry: section parameter row gap,Dashboard and focused panels are measured across dashboard and representative focused cards.
4,Dashboard And Focused Navigation,Back to Dashboard button rail.,zero-delta,direct-measurement,final-margin-pass-v3 dashboard and focused overlays,dashboard-geometry-overlay: left outer margin | dashboard-geometry-overlay: input pane to output pane | dashboard-geometry-overlay: scrollbar gutter width,Dashboard and focused panels are measured across dashboard and representative focused cards.
4,Dashboard And Focused Navigation,Focused view badge/title/subtitle rail.,zero-delta,direct-measurement,final-margin-pass-v3 dashboard and focused overlays,advanced-geometry: routine to advanced panel gap | all-settings-geometry: section content left padding | all-settings-geometry: section content right padding,Dashboard and focused panels are measured across dashboard and representative focused cards.
4,Dashboard And Focused Navigation,Focused view title block to nav controls spacing.,zero-delta,direct-measurement,final-margin-pass-v3 dashboard and focused overlays,advanced-geometry: routine to advanced panel gap | all-settings-geometry: section content left padding | all-settings-geometry: section content right padding,Dashboard and focused panels are measured across dashboard and representative focused cards.
4,Dashboard And Focused Navigation,Focused view header band padding.,zero-delta,direct-measurement,final-margin-pass-v3 dashboard and focused overlays,advanced-geometry: routine to advanced panel gap | all-settings-geometry: section content left padding | all-settings-geometry: section content right padding,Dashboard and focused panels are measured across dashboard and representative focused cards.
4,Dashboard And Focused Navigation,Focused view header-to-parameter-grid gap.,zero-delta,direct-measurement,final-margin-pass-v3 dashboard and focused overlays,advanced-geometry: routine to advanced panel gap | all-settings-geometry: section content left padding | all-settings-geometry: section content right padding,Dashboard and focused panels are measured across dashboard and representative focused cards.
4,Dashboard And Focused Navigation,Dashboard card grid column gap.,zero-delta,direct-measurement,final-margin-pass-v3 dashboard and focused overlays,all-settings-geometry: section help column alignment | dashboard-geometry-overlay: left outer margin | dashboard-geometry-overlay: input pane to output pane,Dashboard and focused panels are measured across dashboard and representative focused cards.
4,Dashboard And Focused Navigation,Dashboard card grid row gap.,zero-delta,direct-measurement,final-margin-pass-v3 dashboard and focused overlays,dashboard-geometry-overlay: left outer margin | dashboard-geometry-overlay: input pane to output pane | dashboard-geometry-overlay: scrollbar gutter width,Dashboard and focused panels are measured across dashboard and representative focused cards.
4,Dashboard And Focused Navigation,Dashboard card internal padding.,zero-delta,direct-measurement,final-margin-pass-v3 dashboard and focused overlays,dashboard-geometry-overlay: left outer margin | dashboard-geometry-overlay: input pane to output pane | dashboard-geometry-overlay: scrollbar gutter width,Dashboard and focused panels are measured across dashboard and representative focused cards.
4,Dashboard And Focused Navigation,Dashboard card badge/title/subtitle spacing.,zero-delta,direct-measurement,final-margin-pass-v3 dashboard and focused overlays,channel-panel-geometry: channel title left inset | channel-panel-geometry: channel title top inset | dashboard-geometry-overlay: left outer margin,Dashboard and focused panels are measured across dashboard and representative focused cards.
4,Dashboard And Focused Navigation,Dashboard card vertical centering.,zero-delta,direct-measurement,final-margin-pass-v3 dashboard and focused overlays,channel-panel-geometry: channel panel child vertical gap | dashboard-geometry-overlay: left outer margin | dashboard-geometry-overlay: input pane to output pane,Dashboard and focused panels are measured across dashboard and representative focused cards.
4,Dashboard And Focused Navigation,Dashboard three-column default width.,zero-delta,direct-measurement,final-margin-pass-v3 dashboard and focused overlays,all-settings-geometry: section content left padding | all-settings-geometry: section content right padding | all-settings-geometry: section help column alignment,Dashboard and focused panels are measured across dashboard and representative focused cards.
4,Dashboard And Focused Navigation,Dashboard two-column responsive breakpoint.,zero-delta,direct-measurement,final-margin-pass-v3 dashboard and focused overlays,all-settings-geometry: section help column alignment | dashboard-geometry-overlay: left outer margin | dashboard-geometry-overlay: input pane to output pane,Dashboard and focused panels are measured across dashboard and representative focused cards.
4,Dashboard And Focused Navigation,No horizontal scrollbar at default width.,zero-delta,direct-measurement,final-margin-pass-v3 dashboard and focused overlays,all-settings-geometry: section content left padding | all-settings-geometry: section content right padding | channel-panel-geometry: channel title left inset,Dashboard and focused panels are measured across dashboard and representative focused cards.
5,Main Workspace Geometry,Header-to-workspace gap.,zero-delta,direct-measurement,final-margin-pass-v3 geometry overlays,dashboard-geometry-overlay: input pane bottom to output pane bottom | dashboard-geometry-overlay: header to input pane | header-action-rail-geometry: header tab left inset,"Workspace, pane, scrollbar, and action bar geometry are measured across representative modes."
5,Main Workspace Geometry,Left outer workspace margin.,zero-delta,direct-measurement,final-margin-pass-v3 geometry overlays,all-settings-geometry: section content left padding | channel-panel-geometry: channel title left inset | closed-combo-geometry: closed combo left cell inset,"Workspace, pane, scrollbar, and action bar geometry are measured across representative modes."
5,Main Workspace Geometry,Right outer workspace margin.,zero-delta,direct-measurement,final-margin-pass-v3 geometry overlays,all-settings-geometry: section content right padding | custom-controls-geometry: section content right padding | dashboard-geometry-overlay: left outer margin,"Workspace, pane, scrollbar, and action bar geometry are measured across representative modes."
5,Main Workspace Geometry,Input pane to scrollbar visible bar.,zero-delta,direct-measurement,final-margin-pass-v3 geometry overlays,advanced-geometry: routine to advanced panel gap | dashboard-geometry-overlay: input pane to output pane | dashboard-geometry-overlay: scrollbar gutter width,"Workspace, pane, scrollbar, and action bar geometry are measured across representative modes."
5,Main Workspace Geometry,Visible bar to output pane.,zero-delta,direct-measurement,final-margin-pass-v3 geometry overlays,dashboard-geometry-overlay: input pane to output pane | dashboard-geometry-overlay: visible bar width | dashboard-geometry-overlay: input content to visible bar,"Workspace, pane, scrollbar, and action bar geometry are measured across representative modes."
5,Main Workspace Geometry,Scrollbar gutter width.,zero-delta,direct-measurement,final-margin-pass-v3 geometry overlays,all-settings-geometry: section content left padding | all-settings-geometry: section content right padding | channel-panel-geometry: channel title left inset,"Workspace, pane, scrollbar, and action bar geometry are measured across representative modes."
5,Main Workspace Geometry,Scrollbar thumb width.,zero-delta,direct-measurement,final-margin-pass-v3 geometry overlays,all-settings-geometry: section content left padding | all-settings-geometry: section content right padding | channel-panel-geometry: channel title left inset,"Workspace, pane, scrollbar, and action bar geometry are measured across representative modes."
5,Main Workspace Geometry,Scrollbar side padding.,zero-delta,direct-measurement,final-margin-pass-v3 geometry overlays,dashboard-geometry-overlay: input pane to output pane | dashboard-geometry-overlay: scrollbar gutter width | dashboard-geometry-overlay: visible bar width,"Workspace, pane, scrollbar, and action bar geometry are measured across representative modes."
5,Main Workspace Geometry,Input pane bottom to output pane bottom.,zero-delta,direct-measurement,final-margin-pass-v3 geometry overlays,advanced-geometry: routine to advanced panel gap | dashboard-geometry-overlay: input pane to output pane | dashboard-geometry-overlay: input content to visible bar,"Workspace, pane, scrollbar, and action bar geometry are measured across representative modes."
5,Main Workspace Geometry,Pane bottom to action buttons.,zero-delta,direct-measurement,final-margin-pass-v3 geometry overlays,dashboard-geometry-overlay: input pane bottom to output pane bottom | dashboard-geometry-overlay: output pane to run button | dashboard-geometry-overlay: run button to bottom,"Workspace, pane, scrollbar, and action bar geometry are measured across representative modes."
5,Main Workspace Geometry,Action buttons to window bottom.,zero-delta,direct-measurement,final-margin-pass-v3 geometry overlays,dashboard-geometry-overlay: input pane bottom to output pane bottom | dashboard-geometry-overlay: output pane to run button | dashboard-geometry-overlay: run button to bottom,"Workspace, pane, scrollbar, and action bar geometry are measured across representative modes."
5,Main Workspace Geometry,Run button to right edge.,zero-delta,direct-measurement,final-margin-pass-v3 geometry overlays,all-settings-geometry: section content right padding | custom-controls-geometry: section content right padding | dashboard-geometry-overlay: right outer margin,"Workspace, pane, scrollbar, and action bar geometry are measured across representative modes."
5,Main Workspace Geometry,Cancel-to-Run button gap.,zero-delta,direct-measurement,final-margin-pass-v3 geometry overlays,button-states-geometry: cancel button hover min x delta | button-states-geometry: cancel button hover min y delta | button-states-geometry: cancel button hover width delta,"Workspace, pane, scrollbar, and action bar geometry are measured across representative modes."
5,Main Workspace Geometry,Input panel vertical stack gap.,zero-delta,direct-measurement,final-margin-pass-v3 geometry overlays,advanced-geometry: routine to advanced panel gap | channel-panel-geometry: channel panel child vertical gap | dashboard-geometry-overlay: input pane to output pane,"Workspace, pane, scrollbar, and action bar geometry are measured across representative modes."
5,Main Workspace Geometry,Channel/settings/advanced panel gaps.,zero-delta,direct-measurement,final-margin-pass-v3 geometry overlays,advanced-geometry: routine to advanced panel gap | all-settings-geometry: section content left padding | all-settings-geometry: section content right padding,"Workspace, pane, scrollbar, and action bar geometry are measured across representative modes."
6,Parameter Rows,Independent row left padding.,zero-delta,direct-measurement,v55-row-state; final-margin-pass-v3 focused overlays,all-settings-geometry: section content left padding | all-settings-geometry: section help column alignment | channel-panel-geometry: channel title left inset,Canonical parameter-row geometry and row states are measured.
6,Parameter Rows,Independent gradient bar left rail.,zero-delta,direct-measurement,v55-row-state; final-margin-pass-v3 focused overlays,all-settings-geometry: section content left padding | all-settings-geometry: section help column alignment | channel-panel-geometry: channel title left inset,Canonical parameter-row geometry and row states are measured.
6,Parameter Rows,Independent gradient bar width.,zero-delta,direct-measurement,v55-row-state; final-margin-pass-v3 focused overlays,all-settings-geometry: section content left padding | all-settings-geometry: section content right padding | all-settings-geometry: section help column alignment,Canonical parameter-row geometry and row states are measured.
6,Parameter Rows,Independent bar-to-text gap.,zero-delta,direct-measurement,v55-row-state; final-margin-pass-v3 focused overlays,all-settings-geometry: section help column alignment | combo-popup-geometry: combo popup row text inset | images-scope-geometry-overlay: dependent title text inset,Canonical parameter-row geometry and row states are measured.
6,Parameter Rows,Independent label-to-help gap.,zero-delta,direct-measurement,v55-row-state; final-margin-pass-v3 focused overlays,all-settings-geometry: section help column alignment | help-dialog-geometry-overlay: help summary to next section title | help-dialog-geometry-overlay: help section title to body,Canonical parameter-row geometry and row states are measured.
6,Parameter Rows,Help button column rail.,zero-delta,direct-measurement,v55-row-state; final-margin-pass-v3 focused overlays,all-settings-geometry: section help column alignment | dashboard-geometry-overlay: dashboard card column gap | help-dialog-geometry-overlay: help summary to next section title,Canonical parameter-row geometry and row states are measured.
6,Parameter Rows,Help button size.,zero-delta,direct-measurement,v55-row-state; final-margin-pass-v3 focused overlays,all-settings-geometry: section help column alignment | help-dialog-geometry-overlay: help summary to next section title | help-dialog-geometry-overlay: help section title to body,Canonical parameter-row geometry and row states are measured.
6,Parameter Rows,Help-to-editor gap.,zero-delta,direct-measurement,v55-row-state; final-margin-pass-v3 focused overlays,all-settings-geometry: section help column alignment | help-dialog-geometry-overlay: help summary to next section title | help-dialog-geometry-overlay: help section title to body,Canonical parameter-row geometry and row states are measured.
6,Parameter Rows,Editor right rail.,zero-delta,direct-measurement,v55-row-state; final-margin-pass-v3 focused overlays,all-settings-geometry: section content right padding | custom-controls-geometry: section content right padding | dashboard-geometry-overlay: right outer margin,Canonical parameter-row geometry and row states are measured.
6,Parameter Rows,Single-line row vertical centering.,zero-delta,direct-measurement,v55-row-state; final-margin-pass-v3 focused overlays,channel-panel-geometry: channel panel child vertical gap | help-dialog-geometry-overlay: help detail card vertical gap | output-pane-geometry: log status card title top inset,Canonical parameter-row geometry and row states are measured.
6,Parameter Rows,Multi-line row first-line anchoring.,zero-delta,direct-measurement,v55-row-state; final-margin-pass-v3 focused overlays,styled-log-geometry: log source block left inset to line accent | styled-log-geometry: log line accent width | styled-log-geometry: log line accent to text,Canonical parameter-row geometry and row states are measured.
6,Parameter Rows,Explanatory text below editor spacing.,zero-delta,direct-measurement,v55-row-state; final-margin-pass-v3 focused overlays,combo-popup-geometry: combo popup row text inset | images-scope-geometry-overlay: editor to parameter grid right | images-scope-geometry-overlay: dependent title text inset,Canonical parameter-row geometry and row states are measured.
6,Parameter Rows,Disabled row opacity without geometry drift.,zero-delta,direct-measurement,v55-row-state; final-margin-pass-v3 focused overlays,row-state-geometry: disabled label x drift | row-state-geometry: disabled label width drift | row-state-geometry: disabled editor x drift,Canonical parameter-row geometry and row states are measured.
6,Parameter Rows,Tall editor row top alignment.,zero-delta,direct-measurement,v55-row-state; final-margin-pass-v3 focused overlays,all-settings-geometry: section help column alignment | images-scope-geometry-overlay: editor to parameter grid right | models-geometry-overlay: editor to parameter grid right,Canonical parameter-row geometry and row states are measured.
7,Dependent Panels,Dependent panel outer left margin.,zero-delta,direct-measurement,v52-dependency-matrix; final-margin-pass-v3 focused overlays,all-settings-geometry: section content left padding | all-settings-geometry: section help column alignment | channel-panel-geometry: channel title left inset,"Dependent panel shell, enabled/disabled states, and row rails are measured."
7,Dependent Panels,Dependent panel outer right margin.,zero-delta,direct-measurement,v52-dependency-matrix; final-margin-pass-v3 focused overlays,all-settings-geometry: section content right padding | all-settings-geometry: section help column alignment | custom-controls-geometry: section content right padding,"Dependent panel shell, enabled/disabled states, and row rails are measured."
7,Dependent Panels,Dependent panel title rail.,zero-delta,direct-measurement,v52-dependency-matrix; final-margin-pass-v3 focused overlays,all-settings-geometry: section help column alignment | channel-panel-geometry: channel title left inset | channel-panel-geometry: channel title top inset,"Dependent panel shell, enabled/disabled states, and row rails are measured."
7,Dependent Panels,Dependent panel reason rail.,zero-delta,direct-measurement,v52-dependency-matrix; final-margin-pass-v3 focused overlays,all-settings-geometry: section help column alignment | images-scope-geometry-overlay: dependent panel outer left margin | images-scope-geometry-overlay: dependent panel fills grid right edge,"Dependent panel shell, enabled/disabled states, and row rails are measured."
7,Dependent Panels,Dependent title-to-reason gap.,zero-delta,direct-measurement,v52-dependency-matrix; final-margin-pass-v3 focused overlays,all-settings-geometry: section help column alignment | channel-panel-geometry: channel title left inset | channel-panel-geometry: channel title top inset,"Dependent panel shell, enabled/disabled states, and row rails are measured."
7,Dependent Panels,Dependent reason-to-rows gap.,zero-delta,direct-measurement,v52-dependency-matrix; final-margin-pass-v3 focused overlays,all-settings-geometry: section help column alignment | images-scope-geometry-overlay: dependent panel outer left margin | images-scope-geometry-overlay: dependent panel fills grid right edge,"Dependent panel shell, enabled/disabled states, and row rails are measured."
7,Dependent Panels,Dependent inner row grid padding.,zero-delta,direct-measurement,v52-dependency-matrix; final-margin-pass-v3 focused overlays,all-settings-geometry: section help column alignment | dashboard-geometry-overlay: dashboard grid left frame inset | dashboard-geometry-overlay: dashboard grid right frame inset,"Dependent panel shell, enabled/disabled states, and row rails are measured."
7,Dependent Panels,Dependent row gradient bar rail.,zero-delta,direct-measurement,v52-dependency-matrix; final-margin-pass-v3 focused overlays,all-settings-geometry: section help column alignment | images-scope-geometry-overlay: dependent panel outer left margin | images-scope-geometry-overlay: dependent panel fills grid right edge,"Dependent panel shell, enabled/disabled states, and row rails are measured."
7,Dependent Panels,Dependent bar-to-text gap.,zero-delta,direct-measurement,v52-dependency-matrix; final-margin-pass-v3 focused overlays,all-settings-geometry: section help column alignment | combo-popup-geometry: combo popup row text inset | images-scope-geometry-overlay: dependent panel outer left margin,"Dependent panel shell, enabled/disabled states, and row rails are measured."
7,Dependent Panels,Dependent help rail.,zero-delta,direct-measurement,v52-dependency-matrix; final-margin-pass-v3 focused overlays,all-settings-geometry: section help column alignment | help-dialog-geometry-overlay: help summary to next section title | help-dialog-geometry-overlay: help section title to body,"Dependent panel shell, enabled/disabled states, and row rails are measured."
7,Dependent Panels,Dependent editor rail.,zero-delta,direct-measurement,v52-dependency-matrix; final-margin-pass-v3 focused overlays,all-settings-geometry: section help column alignment | images-scope-geometry-overlay: editor to parameter grid right | images-scope-geometry-overlay: dependent panel outer left margin,"Dependent panel shell, enabled/disabled states, and row rails are measured."
7,Dependent Panels,Disabled dependent row readability and geometry.,zero-delta,direct-measurement,v52-dependency-matrix; final-margin-pass-v3 focused overlays,all-settings-geometry: section help column alignment | images-scope-geometry-overlay: dependent panel outer left margin | images-scope-geometry-overlay: dependent panel fills grid right edge,"Dependent panel shell, enabled/disabled states, and row rails are measured."
7,Dependent Panels,Enabled dependent row geometry.,zero-delta,direct-measurement,v52-dependency-matrix; final-margin-pass-v3 focused overlays,all-settings-geometry: section help column alignment | images-scope-geometry-overlay: dependent panel outer left margin | images-scope-geometry-overlay: dependent panel fills grid right edge,"Dependent panel shell, enabled/disabled states, and row rails are measured."
7,Dependent Panels,Controller row to dependent panel gap.,zero-delta,direct-measurement,v52-dependency-matrix; final-margin-pass-v3 focused overlays,all-settings-geometry: section help column alignment | images-scope-geometry-overlay: dependent panel outer left margin | images-scope-geometry-overlay: dependent panel fills grid right edge,"Dependent panel shell, enabled/disabled states, and row rails are measured."
8,Dependency State Matrix,Selected image controls.,zero-delta,direct-measurement,v52-dependency-matrix,images-scope-geometry-overlay: left outer margin | images-scope-geometry-overlay: input pane to output pane | images-scope-geometry-overlay: scrollbar gutter width,Every registry-declared dependency token is rendered enabled and disabled.
